"synsetid","wordid","casedwordid","lemma","senseid","sensenum","lexid","tagcount","sensekey","cased","pos","lexdomainid","definition","sampleset"
107918576,7603,NULL,"ardent spirits",9874,1,0,0,"ardent_spirits%1:13:00::",NULL,"n",13,"strong distilled liquor or brandy",NULL
107918683,40421,NULL,"eau de vie",57139,1,0,0,"eau_de_vie%1:13:00::",NULL,"n",13,"strong coarse brandy",NULL
107918760,16179,NULL,"bootleg",21718,1,0,0,"bootleg%1:13:00::",NULL,"n",13,"whiskey illegally distilled from a corn mash",NULL
107918760,30071,NULL,"corn liquor",41759,1,0,0,"corn_liquor%1:13:00::",NULL,"n",13,"whiskey illegally distilled from a corn mash",NULL
107918760,86566,NULL,"moonshine",119516,2,0,0,"moonshine%1:13:00::",NULL,"n",13,"whiskey illegally distilled from a corn mash",NULL
107918938,12062,NULL,"bathtub gin",15925,1,0,1,"bathtub_gin%1:13:00::",NULL,"n",13,"homemade gin especially that made illegally",NULL
107919039,3221,NULL,"akvavit",4418,1,0,0,"akvavit%1:13:00::",NULL,"n",13,"Scandinavian liquor usually flavored with caraway seeds",NULL
107919039,7210,NULL,"aquavit",9414,1,0,0,"aquavit%1:13:00::",NULL,"n",13,"Scandinavian liquor usually flavored with caraway seeds",NULL
107919177,7291,NULL,"arak",9512,1,0,0,"arak%1:13:00::",NULL,"n",13,"any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses",NULL
107919177,8011,NULL,"arrack",10418,1,0,0,"arrack%1:13:00::",NULL,"n",13,"any of various strong liquors distilled from the fermented sap of toddy palms or from fermented molasses",NULL
107919341,14437,NULL,"bitters",19164,1,0,1,"bitters%1:13:00::",NULL,"n",13,"alcoholic liquor flavored with bitter herbs and roots",NULL
107919448,16926,NULL,"brandy",22791,1,0,3,"brandy%1:13:00::",NULL,"n",13,"distilled from wine or fermented fruit juice",NULL
107919783,7034,NULL,"applejack",9113,1,0,1,"applejack%1:13:00::",NULL,"n",13,"distilled from hard cider",NULL
